;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
1929,81;2424,12;3919,63;6400,42;2548,96;4450,51;8089,44;6045,69;2,78;2,74;4119,52;3,28;2,86;1979,05;2042,6;2056,26;4115,9;1925,05;1903,9;3,04;4,17;2,81;3,32;3,61;3,68;2,91;10,49;5895,09;6200,62;3,15;2,91;8094,67;8039,2;9991,67;3969,88;4013,3;1775,6
56,94;5,34;5189,95;5899,38;4574,62;3913,34;4145,73;4025,03;3,13;3,2;2113,86;3,71;3,49;9,51;3982,59;2013,85;2049,22;40,74;5,72;1868,91;3,71;3,01;3,42;2,6;5,13;3;2142,95;4020,64;4253,7;2011,45;1925,86;10194,21;8230,14;8100,74;5885,41;2062,47;11,25
2532,46;5,34;3958,09;3912,11;2011,05;4029,06;6244,39;5990,95;2,83;3,73;4161,38;1994,81;2018,76;1976,21;4059,78;4012,62;4022,71;1918,7;7,05;4,86;4,05;4,27;3,84;3,08;3,45;4;10,42;4038,98;4385,71;3,12;3,01;9951,76;8097,19;8218,12;5876,63;2062,01;1831,94
47,75;6,85;4378,43;5814,07;2015,13;3928,89;4108,57;5956,11;1997,15;1891,87;4070,81;3,63;2,87;9,64;2051,23;2009,35;2051,96;1903,86;9,71;5,85;3,77;2,95;4,06;3,1;3,72;2,96;1938,03;6107,83;6107,55;2,91;3,24;8067,52;8064,4;8091,73;5900,37;4014,2;12,5
1912,74;5,23;3844,13;2200,45;4622,63;4051,9;2069,06;1990,53;3,25;3,31;2102,9;4,34;2,87;9,76;3998,84;2021,61;2080,74;39,22;1943,89;5,52;2013,13;1955,54;1888,84;1928,53;1950,97;1947,78;9,22;4063,31;4167,22;3,48;3,01;10226,81;8112,95;7998,81;5908,35;2054,52;1758,5
55,15;6,57;3943,09;2500,28;4388,88;4405,94;4029,67;2015,55;2,87;2,69;4163,57;3,31;3,34;1982,01;4051,92;4071,4;4094,06;1913,95;4,12;3,7;4,28;3,16;4,63;2,76;3,85;3,01;1885,07;4038,11;6130,36;2,83;2,78;10282,5;8220,24;7985,86;4007,14;2211,16;11,16
2062,53;1940,93;2335,4;4407,85;2014,37;3988,44;6503,94;5987,29;3,3;3,75;2129,87;3,43;2,82;9,48;2040,23;1991,5;2050,07;1931,17;7,97;1947;6,34;3,15;2,97;2,84;3,04;3,02;9,24;5973,88;4138,52;1949,23;2003,66;8039,69;8172,96;8103,08;3935,6;4216,57;1776,27
53,11;3,63;6023,09;5931,35;1923,34;4091,72;6167,38;7928,59;3,56;1976,48;4092,56;1988,66;1969,12;9,59;4002,08;2077,33;4038,47;38,58;10,45;7,22;4,65;3,43;3,14;3,62;3,42;4;1958,75;4253,04;4112,39;3,62;3,05;9976,96;8324,75;8071,7;3908,33;2074,43;11,82
1968,54;6,3;2423,9;6341,46;4545,3;4093,55;4017,38;3955,31;1898,24;2,77;4135,37;4,33;3,42;2006,1;4000,75;4107,47;2070,53;1897,46;1878,33;5,14;4,11;2,88;3,4;2,85;3,3;3,07;11,86;4055,31;6147,72;2,82;3,16;9897,52;8286,18;8040,97;3895,61;2042,92;1763,96
